"project","release_id","FN","TP","TN","FP"
"accumulo",1,66,20,744,77
"accumulo",2,43,27,878,104
"bookkeeper",1,16,16,157,38
"bookkeeper",2,13,12,254,32
"camel",1,108,39,2281,142
"camel",2,68,45,2525,214
"cassandra",1,89,25,533,37
"cassandra",2,107,49,706,60
"cxf",1,34,57,2031,284
"cxf",2,134,36,2384,59
"derby",1,47,38,1279,194
"derby",2,96,34,1441,58
"felix",1,160,49,2322,46
"felix",2,60,94,2852,406
"hive",1,152,70,1939,85
"hive",2,119,91,2161,179
"openjpa",1,33,23,1351,82
"openjpa",2,19,16,1392,82
"pig",1,40,16,918,67
"pig",2,30,21,930,102
"wicket",1,99,14,1193,32
"wicket",2,63,44,1218,205
