"","V1","V2","V3","V4"
"1","Project","Y #Bugs","Y ChgLines","Y Exp"
"2","accumulo","0.15797140519319","0.0519101610493464","0.112911683317821"
"3","bookkeeper","0.051279092227566","0.0210403129811529","0.0350111930905828"
"4","camel","0.0395254654532399","0.0177410701827067","0.0320416451875194"
"5","cassandra","0.299771876782804","0.122719222285168","0.228957496925168"
"6","cxf","0.0937739645558353","0.0480613042551293","0.0590303678237848"
"7","derby","0.075469065184779","0.0251485597870859","0.0337897341484854"
"8","felix","0.599490386479469","0.330691758576479","0.525943491176107"
"9","hive","0.0100666415533852","0.00861936647756245","0.00276398325673921"
"10","openjpa","0.132469666587229","0.0738634043482246","0.0496837561741797"
"11","pig","0.0508689704962603","0.00967604154178625","0.0230152014409666"
"12","wicket","0.23533041336105","0.066856307274801","0.12532105806491"
