"","V1","V2","V3","V4","V5"
"1","Project","Features","Y #Bugs","Y ChgLines","Y Exp"
"2","accumulo","X LOC","0.497546158835669","0.497832830024771","0.498258820569613"
"3","accumulo","X CC","0.495569143700756","0.494370685939396","0.496011164926859"
"4","accumulo","X churn","0.00688469746357419","0.0077964840358329","0.00573001450352789"
"5","bookkeeper","X LOC","0.408907594825538","0.414001815163528","0.411940661708945"
"6","bookkeeper","X CC","0.393178653190025","0.396169533647821","0.395323486300621"
"7","bookkeeper","X churn","0.197913751984436","0.189828651188651","0.192735851990433"
"8","camel","X LOC","0.40828217476508","0.440282919874879","0.394631018944343"
"9","camel","X CC","0.379212338678939","0.330691874398261","0.425870959730759"
"10","camel","X churn","0.212505486555981","0.22902520572686","0.179498021324898"
"11","cassandra","X LOC","0.381378649936669","0.406761247269818","0.383480774543338"
"12","cassandra","X CC","0.377652689635451","0.436776385688257","0.394989384367273"
"13","cassandra","X churn","0.24096866042788","0.156462367041925","0.221529841089389"
"14","cxf","X LOC","0.101270201694372","0.130508640419648","0.0838042646349033"
"15","cxf","X CC","0.128389742918951","0.158193784419304","0.109234026660816"
"16","cxf","X churn","0.770340055386677","0.711297575161047","0.80696170870428"
"17","derby","X LOC","0.474028942814691","0.500510751905982","0.461630191582653"
"18","derby","X CC","0.510063382515659","0.461182704211478","0.490997598773909"
"19","derby","X churn","0.0159076746696502","0.0383065438825394","0.0473722096434378"
"20","felix","X LOC","0.408435809966059","0.490262170931995","0.432012650848254"
"21","felix","X CC","0.348138379243687","0.389532941360257","0.370044508978814"
"22","felix","X churn","0.243425810790254","0.120204887707747","0.197942840172932"
"23","hive","X LOC","0.50658405433944","0.506465018985884","0.506529378443978"
"24","hive","X CC","0.4811127573879","0.475442835530358","0.481659630833776"
"25","hive","X churn","0.0123031882726595","0.0180921454837581","0.0118109907222463"
"26","openjpa","X LOC","0.338051124690954","0.36822051419558","0.459409211018358"
"27","openjpa","X CC","0.308239846473479","0.336169472323948","0.438094142181284"
"28","openjpa","X churn","0.353709028835567","0.295610013480472","0.102496646800358"
"29","pig","X LOC","0.390768231823848","0.499024307975717","0.557580822446401"
"30","pig","X CC","0.247258472997819","0.397034199999854","0.37219370070815"
"31","pig","X churn","0.361973295178334","0.103941492024429","0.0702254768454488"
"32","wicket","X LOC","0.457135775481174","0.484523997626777","0.439127221778741"
"33","wicket","X CC","0.428443221078628","0.421617006200238","0.417395409805872"
"34","wicket","X churn","0.114421003440198","0.0938589961729843","0.143477368415387"
