,num,harold_LOC,kilby_LOC,harold_avg_numbugs_LOC,kilby_avg_numbugs_LOC,harold_CC,kilby_CC,harold_avg_bfs_CC,harold_avg_bfs_LOC,harold_avg_bfs_churn,harold_avg_exp_CC,harold_avg_exp_LOC,harold_avg_exp_churn,harold_avg_numbugs_CC,harold_avg_numbugs_churn,kilby_avg_bfs_CC,kilby_avg_bfs_LOC,kilby_avg_bfs_churn,kilby_avg_exp_CC,kilby_avg_exp_LOC,kilby_avg_exp_churn,kilby_avg_numbugs_CC,kilby_avg_numbugs_churn
0,0.0-0.001,31640,70992,0.0012073324905183312,0.0012151603936593793,7864,5625,0.0002462880078999851,0.00011437657310808301,0.0016633341518457454,0.007527383966623292,0.004856841264934529,0.034665455268336594,0.002149332661798036,0.012665310274669378,7.0631587424278e-05,4.700506940515092e-05,0.00026720375965088965,0.004510041664095668,0.0038544667558645064,0.015083044112796463,0.0016182376565083863,0.0076207407407407396
1,0.001-0.002,10533,7868,0.005269154087154657,0.005948144382308083,1168,899,0.0015352531956905951,0.0006809469090575759,0.0040695000372920976,0.027999883558437084,0.01768311086330047,0.054598875033783925,0.00984716915595693,0.02585616438356164,0.00037682745695139175,0.0002836326066911697,0.0005661151979316845,0.016322117450303413,0.013034714115093755,0.01938786398652138,0.007235907884176081,0.013496477567667774
2,0.002-0.003,3931,2891,0.009997456118036123,0.008301625735039776,440,388,0.002533967874808726,0.0013356534521770966,0.004489083209591378,0.04304105097647665,0.026956856919141917,0.0475524011145473,0.014935661764705883,0.02931818181818182,0.0005864077911687842,0.0004804471842503195,0.0008649463772178442,0.016956891998501637,0.014471644844816276,0.026401921375597937,0.009994848016486346,0.018384879725085904
3,0.003-0.004,2050,1354,0.013146341463414635,0.010192023633677988,205,253,0.003075675081119728,0.0022429285998849103,0.005955173889306951,0.040583923572181275,0.03772667032113055,0.046720346714903216,0.021545454545454548,0.03609756097560976,0.0008492819782530575,0.0005931476018986673,0.0011767152677437714,0.017655563073557406,0.016394996890637475,0.025841488758727826,0.01306901615271659,0.02187088274044795
4,0.004-0.005,1192,666,0.017533557046979866,0.01391391391391391,127,127,0.0037344867792248825,0.0027964205816554816,0.010017577203938437,0.04500446929737161,0.03588204958470808,0.051426398162454826,0.023956723338485315,0.04488188976377952,0.001119492218953152,0.0008221968191756715,0.0008048465240938542,0.02345426072506999,0.017205173332415006,0.0235720828448963,0.02091503267973855,0.026771653543307083
5,0.005-0.006,751,389,0.02043941411451398,0.020908311910882594,78,82,0.005942803150784891,0.0033542693226937576,0.006852343059239612,0.06521031582585757,0.04731679480463244,0.05280555034819826,0.029639175257731958,0.04935897435897436,0.0011104908270940066,0.0010131977829381513,0.0008535357256895834,0.027507235768476627,0.030561659703912832,0.011116202536918623,0.020579710144927533,0.016260162601626008
6,0.006-0.007,466,256,0.02178111587982833,0.028124999999999994,50,77,0.0053165367780506016,0.0038498087753051414,0.009576527525710832,0.051038920356068884,0.04610688085993452,0.06715970192817872,0.03019607843137255,0.061000000000000006,0.0018035732888842583,0.0023769904959718012,0.0016168373419128714,0.031839273658820756,0.03246145614122036,0.03922967629201617,0.027203065134099612,0.03636363636363637
7,0.007-0.008,335,171,0.022686567164179102,0.023391812865497075,40,48,0.014876222311086512,0.004805374217840019,0.022738959467634597,0.05368540301590456,0.046483818191927935,0.08351756218326564,0.0440677966101695,0.0675,0.0014536538377337017,0.001319175750722897,0.001138175562269217,0.025539507502155556,0.014967083711746397,0.015537527279628057,0.02608695652173912,0.029166666666666657
8,0.008-0.009,285,117,0.03473684210526316,0.03589743589743586,18,38,0.006057637227031567,0.005113509727130894,0.029525441957383873,0.032896230028933236,0.05501062770655322,0.061191232271640014,0.03008849557522124,0.10555555555555556,0.0003835673242106511,0.002500408844819722,0.008642735994063705,0.012096247551112676,0.025494966599435714,0.04606461713635066,0.012549019607843125,0.07017543859649118
9,0.009-0.010,199,69,0.03442211055276382,0.04154589371980675,20,31,0.009730494278435278,0.010822412121101575,0.024001814882032683,0.06789229827925684,0.055663326355329446,0.07847729939524775,0.04859154929577465,0.09,0.017283484390735144,0.0016674693871593903,0.0018476106942143392,0.0012738400227725588,0.027323377607415773,0.050955896531776,0.01666666666666666,0.05591397849462364
10,0.01-0.011,122,68,0.044672131147540976,0.03823529411764706,25,14,0.009440313798957904,0.007304156377376458,0.010526315789473682,0.08284034959272162,0.05800364677293749,0.04511972457546712,0.054838709677419356,0.066,0.0015593850833384713,0.001082948285054203,0.0021939289310890574,0.013271405915056031,0.019622494599889493,0.028221707128624266,0.047619047619047616,0.03809523809523807
11,0.011-0.012,96,31,0.03229166666666667,0.01720430107526879,12,17,0.005265048396854209,0.005936176648517845,0.016787658802177863,0.06442569919926126,0.03759080666828629,0.1276909017059301,0.04375,0.12916666666666668,0.003387347798223932,0.0017257902088815258,0.001155144837391152,0.06301155592359693,0.04366270901628054,0.03638586091994439,0.08888888888888886,0.02745098039215687
12,0.012-0.013,91,40,0.03461538461538462,0.008333333333333326,11,17,0.0021412423981914874,0.009436721777919611,0.013639113457625253,0.01430872062365428,0.049897521340599514,0.09125819900502177,0.017105263157894738,0.10454545454545454,0.001090970124202753,0.02537449647532729,0.0003998578283277055,0.02506167568080464,0.0070772843723313356,0.009268096649419796,0.03333333333333331,0.02352941176470587
13,0.013-0.014,66,31,0.04393939393939393,0.05376344086021506,5,11,0.006306715063520872,0.005779207684833819,0.006594071385359944,0.04070132683454508,0.041319572655884595,0.03168155970755492,0.03125,0.02,0.0,0.0020547055192801215,0.0021514236015746564,0.0,0.030942673755543926,0.010160313640245321,0.0,0.042424242424242406
14,0.014-0.015,51,26,0.03627450980392157,0.07692307692307693,9,10,0.029239766081871333,0.011689975445713676,0.05115278618000944,0.02444579835725424,0.058247832032893694,0.07272956343833369,0.07000000000000002,0.1222222222222222,0.004468781470292044,0.005345108064141301,0.0008685800604229601,0.028305579276971297,0.03891443502886714,0.01494449188727583,0.09583333333333331,0.026666666666666637
15,0.015-0.016,46,20,0.06195652173913044,0.03999999999999995,0,8,0.012278461159283912,0.011296983087403673,,0.04807142642236063,0.050468170205582225,,0.07777777777777779,,6.294058408862037e-05,0.0020266868076535714,0.00092837361530715,0.0036827497865072564,0.013286364930259042,0.0216161400512382,0.008333333333333337,0.05
16,0.016-0.017,20,15,0.06250000000000001,0.01777777777777778,5,6,0.013346944948578346,0.010178463399879014,0.0,0.11939258108529653,0.04431453328690898,0.0,0.10416666666666667,0.0,0.0015105740181268915,0.0009566968781470287,0.01034323598522994,0.04731405798869501,0.004061106366827969,0.05723977606983577,0.07111111111111111,0.06666666666666657
17,0.017-0.018,25,10,0.05,0.14666666666666656,3,6,0.009938639702705043,0.009800362976406532,0.01835047388586407,0.1457757920389926,0.039950485474453304,0.04865060023468723,0.07142857142857142,0.09999999999999999,0.005991943605236654,0.007099697885196374,0.0008182275931520652,0.021135781383433,0.03204267267034137,0.03914033589524617,0.01999999999999997,0.02222222222222223
18,0.018-0.019,23,13,0.09130434782608696,0.04615384615384616,4,1,0.008494656180681584,0.02435624293116598,0.007259528130671508,0.04940258597346325,0.053863094467252806,0.011169780666125098,0.09166666666666667,0.025,0.0050855991943605195,0.0013072275156867338,0.00163645518630413,0.00335377688067696,0.018759208340762543,0.0572160546541418,0.10666666666666658,0.133333333333333
19,0.019-0.020,28,20,0.044642857142857144,0.026666666666666682,3,5,0.035250593326818375,0.005757929306023679,0.02853397862472273,0.08719696902068369,0.07466103825768831,0.10842907431058747,0.13076923076923078,0.13333333333333333,0.0010070493454179255,0.0009692849949647524,2.5176233635448198e-05,0.021883005977796802,0.007119982920580701,0.00922288642186166,0.02500000000000001,0.01333333333333334
20,0.02-0.021,15,8,0.05000000000000001,0.049999999999999975,2,4,0.05353901996370233,0.030711837063924174,0.01028433151845132,0.280783988046913,0.13901976712699698,0.1640942323314375,0.3375,0.07500000000000001,0.0027693856998993,0.008056394763343402,0.0,0.007685738684884709,0.0416844577284372,0.0,0.0666666666666667,0.0
21,0.021-0.022,8,4,0.1,0.0,6,2,0.020417422867513607,0.040078644888082215,0.012704174228675124,0.021572908204711617,0.06982382209585704,0.05131329542377455,0.07500000000000001,0.03333333333333333,0.0006042296072507559,0.0,0.0,0.008027327070879593,0.0,0.0,0.01333333333333334,0.0
22,0.022-0.023,20,6,0.07,0.011111111111111115,2,4,0.005482456140350876,0.006745311554748943,0.01845130066545675,0.04459450311403333,0.07343623070674252,0.0182778229082047,0.0625,0.025,0.0,0.0015105740181268884,0.006482880161127892,0.0,0.0009962994591517216,0.11156774836322214,0.0,0.1833333333333334
23,0.023-0.024,6,4,0.075,0.016666666666666673,1,3,0.0323653962492438,0.012603347449082482,0.0157289776164549,0.181559707554833,0.0686095315461685,0.0373679935012185,0.15,0.15,,0.000692346424974825,0.010070493454179241,,0.010247651579846275,0.12355739904843238,,0.19999999999999987
24,0.024-0.025,6,3,0.041666666666666664,0.044444444444444335,1,2,0.02831215970961894,0.021980237951199837,0.00120992135511192,0.08231297540796095,0.03659626320064981,0.00974817221770918,0.15000000000000002,0.05,0.0,0.0005035246727089633,0.001132930513595165,0.0,0.003131226871619697,0.03949615713065755,0.0,0.0666666666666665
