"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Project","Y bfs","","","exp","","","priority","",""
"","R1","R2","R3","R1","R2","R3","R1","R2","R3"
"accumulo","0.438932356346329","0.263590071677042","0.350349724209668","0.792374292980842","0.790599281133043","0.79126184611095","0.867391723679594","0.953799951649105","0.938641540593356"
"bookkeeper","0.817157562429649","0.0142772604285721","0.112604195036756","0.950302422688158","0.935781229025472","0.518271192067846","0.943984509718883","0.967369831866512","0.933230903572186"
"camel","0.294855930456356","0.243763668086614","0.251551213044686","0.552684242195126","0.42882728434065","0.325267160659597","0.895270184393656","0.835835668859152","0.929141252782875"
"cassandra","0.484550772729894","0.59533046062191","0.454886111241456","0.829860392817884","0.872832910977699","0.710042639861301","0.875634240288546","0.914335919939532","0.911201059567575"
"cxf","0.462585475839754","0.051523703006367","0.465666883620944","0.238190056160121","0.470253128591097","0.790091462104574","0.969874138756861","0.962483716484712","0.970982255137231"
"derby","0.396628267120206","0.138616011357884","0.461283704632393","0.891140926557782","0.631464636170287","0.792295915289065","0.962774769718828","0.890951803963676","0.966363563025166"
"felix","0.708368796792086","0.319190521540011",,"1","0.979359897535993",,"0.980196058819607","0.995778435212278",
"hive","0.60939063664861","0.0112251811903652",,"0.616372333194575","0.678267068667818",,"0.965173614783351","0.987378592183333",
"openjpa","0.176025642742855","-0.0657319877893866","0.448640887530425","0.766249784706622","0.973764317393291","0.901061918250359","0.964719137258928","0.987583960742349","0.988980436021695"
"pig","0.134434448511324","0.439813168718899","0.435220765667122","0.62183986947904","0.238857175542739","0.533720002846171","0.966784202790293","0.973798019690203","0.991004495595146"
"wicket","0.459826463323235","0.323508131038255","0.399395190369459","0.864600693210273","0.809023786557302","0.747429499579876","0.971215547752716","0.98101600325321","0.9763206892"
